conf-param-1,conf-param-2,conf-param-3,conf-param-4,conf-param-5,conf-param-6,conf-param-7,conf-param-8,conf-param-9
304183102.45500016,190401258.15500006,167315727.10500005,226650235.85500002,227448122.85500005,228002721.005,266154979.3050001,293735749.30500007,268653597.75500005
257662649.90500003,191818275.405,173892094.65500003,330623983.45500016,156929990.60500002,207593280.55500004,322984963.805,236584740.055,250648187.30500007
251807605.00500005,172313760.15500006,240856372.1050001,240679020.10500002,276419333.9050001,275219495.0050001,259188841.80500004,274029164.205,217226880.30500004
212645989.90500003,191455236.4550001,205161695.50500005,331993595.605,216166073.95500004,219105798.40500006,311719425.95500016,297261026.005,242325986.85500002
283066506.30500007,241399191.10500005,221612495.05500004,247603835.80500007,252175304.60500002,327715308.0550002,256203740.955,289750142.6050001,252359100.95500004
217550859.70500007,212003472.45500007,229332797.50500005,220263706.05500004,259476995.25500003,211976744.60500002,270927823.555,303260304.50500005,267065445.45500004
256347618.255,249588279.65500006,222325935.65500006,220750455.50500008,213504432.05500007,224637068.45500007,258448368.0550001,275398716.70500004,318717046.705
287754687.70500004,135414632.05500004,227995217.80500004,267470678.9550001,249576889.205,230507116.30500004,297954384.50500005,303320832.2050001,277895715.40500003
261595423.75500005,217834967.80500004,312031777.555,321106122.4050001,307899321.80499995,289733371.055,304171000.1050001,241948167.50500003,270622884.8550001
253755158.75500008,197060742.05500007,182478008.10500002,287015855.605,270111675.45500004,247090140.05500007,320588276.8550001,319123481.0050002,202418048.1550001
267966631.35500008,239456998.15500006,180650395.10499996,200262074.25500003,342222224.355,272510589.00500005,279769845.15500003,291145898.65500003,284223113.50500005
218687160.65500006,272580797.805,249849564.75500005,215863598.70500004,192863479.50500003,239987363.35500002,322800436.30500007,276412620.355,284844476.70500004
273454695.90500003,236510140.70500004,178086051.55500004,298345962.05500007,270218686.90500003,146546845.45500004,294087876.55500007,314760137.20500004,228627712.90500003
254932128.10500002,222182471.65500003,201626647.455,200497219.40500006,186377862.65500006,271599129.70500004,330423596.00500005,356372245.1050001,285089267.1050001
332885863.055,227422542.00500005,236967620.05500007,263929263.70500004,166619706.75500005,241637914.55500004,255002809.20499998,259262435.95500004,326070520.50500005
269015278.05500007,217492802.70500004,206416055.15500003,325646612.055,289151976.755,276648417.70500004,276693843.40500003,253740424.40500003,269486813.805
306787447.45500004,266464613.155,230849937.355,262892941.5050001,231256048.50500005,155577688.90500003,246015159.90500006,253766693.75500005,283613362.75500005
321363813.955,271448173.40500003,246776983.955,250541674.00500008,257203493.45500004,242121164.755,253235884.15500003,325879196.2050001,326437637.1549999
276434819.8550001,261845646.95500007,220972965.45500007,316327862.2550001,275497720.00500005,302790659.105,271192106.45500004,263245899.45500004,244265982.40499994
281233758.45500004,245728353.70500004,172770153.10500005,279397217.55500007,271783084.65500003,294823490.855,282383775.50500005,240197244.50500005,257029814.90500003
242182110.10500005,298307009.3550001,216071385.75500003,239459314.50500003,248256392.55500004,198219347.45500004,294760979.405,248974780.00500003,300114307.2550002
207016490.25500008,135743463.80500004,174548923.25500005,279100137.205,297476163.4550001,255856383.25500005,300963711.9050001,257753292.80500004,293858452.1050001
269289841.05500007,194419719.5050001,131952540.75500004,316560635.75499994,288632464.20500004,211446871.55500004,278333131.055,277144970.9550001,285014234.7550001
241676050.05500004,215136399.65500003,210507610.90500006,286223079.45500004,267890216.75500003,190475907.55500007,270394066.05500007,200207545.70499998,261156202.85500008
268795742.2050001,227634702.60500005,229780898.75500003,288894101.95500004,267637732.70500004,241712157.35500017,280003863.6550001,298151800.155,230168875.50500003
217510545.70500004,242198402.60500008,71630233.05500004,261911589.90500003,239209443.15500003,244760759.90500012,242753187.55500004,234254776.00500003,243950098.455
312366211.4050001,246848455.755,214952081.25500017,291023355.70500004,177789579.505,146871110.75500005,272643947.1050001,245523208.85500002,249925091.8050001
320708114.55499995,222720010.50500005,138583894.80500004,235050271.00500008,188830369.30500007,222544072.45500007,294171797.8550001,302236331.6050001,137352877.55500004
229758792.25500003,178374972.25500008,230134977.15500003,323358183.8550001,264096095.55500004,226582629.905,318360601.95500004,283632626.80499995,295117712.5550001
327454055.00500005,277242696.805,267681180.30500004,256023522.25500008,275795909.755,281621287.5050001,247562716.45500007,263277993.955,224553676.05500007
