generations,best_min_cost,time_at_best_min_cost,best_min_time,cost_at_best_min_time,no_change_counter
10000,20541.48928,15027.745833333332,8102.924999999999,31477.159999999993,0
20000,12528.549280000001,3670.1270833333333,2599.320833333333,16869.45935999999,0
30000,12528.549280000001,3670.1270833333333,2599.320833333333,16869.45935999999,1
40000,12103.96512,6719.770833333333,2599.320833333333,16869.45935999999,0
50000,7760.79408,2746.5645833333333,1815.0020833333338,15254.014879999999,0
60000,7760.79408,2746.5645833333333,1815.0020833333338,15254.014879999999,1
70000,7760.79408,2746.5645833333333,1815.0020833333338,15254.014879999999,2
80000,6511.6584,3592.3083333333348,1471.170833333333,6739.661760000003,0
90000,4669.2932,2709.7520833333324,841.845833333333,9960.75496,0
100000,4669.2932,2709.7520833333324,740.5395833333333,14218.70424,0
110000,4669.2932,2709.7520833333324,740.5395833333333,14218.70424,1
120000,4669.2932,2709.7520833333324,740.5395833333333,14218.70424,2
130000,4669.2932,2709.7520833333324,740.5395833333333,14218.70424,3
140000,4669.2932,2709.7520833333324,740.5395833333333,14218.70424,4
150000,4669.2932,2709.7520833333324,560.7895833333333,8659.09824,0
160000,4669.2932,2709.7520833333324,560.7895833333333,8659.09824,1
170000,4669.2932,2709.7520833333324,560.7895833333333,8659.09824,2
180000,4648.81248,1322.0958333333338,560.7895833333333,8659.09824,0
190000,4648.81248,1322.0958333333338,560.7895833333333,8659.09824,1
200000,4648.81248,1322.0958333333338,521.9145833333336,9225.39488,0
210000,4648.81248,1322.0958333333338,521.9145833333336,9225.39488,1
220000,4648.81248,1322.0958333333338,521.9145833333336,9225.39488,2
230000,3774.264,1265.9895833333333,406.7583333333334,12027.13408,0
240000,3774.264,1265.9895833333333,406.7583333333334,12027.13408,1
250000,3774.264,1265.9895833333333,295.7395833333333,4816.877519999999,0
260000,3774.264,1265.9895833333333,295.7395833333333,4816.877519999999,1
270000,2363.46344,1419.1583333333338,295.7395833333333,4816.877519999999,0
280000,2363.46344,1419.1583333333338,295.65833333333336,5153.223919999999,0
290000,2363.46344,1419.1583333333338,295.65833333333336,5153.223919999999,1
300000,2363.46344,1419.1583333333338,295.65833333333336,5153.223919999999,2
310000,2363.46344,1419.1583333333338,295.65833333333336,5153.223919999999,3
320000,2363.46344,1419.1583333333338,295.65833333333336,5153.223919999999,4
330000,2363.46344,1419.1583333333338,295.65833333333336,5153.223919999999,5
340000,2363.46344,1419.1583333333338,295.65833333333336,5153.223919999999,6
350000,2363.46344,1419.1583333333338,295.65833333333336,5153.223919999999,7
360000,2363.46344,1419.1583333333338,295.65833333333336,5153.223919999999,8
370000,2363.46344,1419.1583333333338,295.65833333333336,5153.223919999999,9
380000,2363.46344,1419.1583333333338,295.65833333333336,5153.223919999999,10
